"Государственной","Дзяржаўнай","дэпутат Дзяржаўнай"
"гимназия","гімназія","гімназія вярнулася"
"в","у","вярнулася у"
"долине","даліне","даліне Валь-Рыдана,"
"долине","даліне","даліне Валь-Рыдана, Ірына"
"была","была","Ірына была"
"была","была","Валь-Рыдана, Ірына была"
"местечке","мястэчку","мястэчку Масэрыя"
"в","у","у індывідуальнай"
"в","у","у пасьюце."
"1977","1977","1977 годзе"
"чемпионат","чэмпіянат","годзе чэмпіянат"
"был","быў","быў праведзены"
"в","у","у Калумбіі."
"Брестского","Брэсцкага","Брэсцкага ўмацаванага раёна."
"Брестского","Брэсцкага","Брэсцкага ўмацаванага"
"вышла","выйшла","моры выйшла"
"русским","рускім","выяўлена рускім"
"было","было","было выяўлена"
"классификация","класіфікацыя","Спрынтэрская класіфікацыя"
"классификация","класіфікацыя","класіфікацыя Спрынтэрская"
"с","з","баёў з"
"авиация","авіяцыя","авіяцыя страціла"
"дней","дзён","дзён баёў"
"два","два","два месяцы баёў"
"два","два","два месяцы"
"1284","1284","страціла 1284"
"в","у","баёў у"
"в","у","месяцы баёў у"
"матче","матчы","матчы прысутнічала"
"5","5","прысутнічала 5"
"нём","ім","ім брало"
"Отечественной","Айчыннай","Вялікай Айчыннай"
"фронтах","франтах","франтах Вялікай"
"до","да","да Забайкалля."
"и","і","Каўказ і Закаўказзе,"
"и","і","Каўказ і"
"и","і","і Закаўказзе,"
"четырнадцати","чатырнаццаці","дасягаць чатырнаццаці"
"могла","магла","магла дасягаць"
"с","з","(аб’яднана з"
"с","з","«Родас» (аб’яднана з"
"дивизией","дывізіяй","дывізіяй «Брандэнбург»"
"армейский","армейскі","68-ы армейскі"
"армейский","армейскі","годзе) 68-ы армейскі"
"горный","горны","22-і горны"
"1944","1944","1944 годзе) 68-ы"
"1944","1944","1944 годзе)"
"22","22","знаходзіліся 22"
"дивизия","дывізія","дывізія «Родас» (аб’яднана"
"дивизия","дывізія","дывізія (крыцкі"
"дивизия","дывізія","дывізія (афінскі"
"дивизия","дывізія","дывізія 22-і"
"дивизия","дывізія","дывізія «Родас»"
"армий","армій","армій знаходзіліся"
"и","і","і Пелапанес)"
"в","у","«Брандэнбург» у"
"местных","мясцовых","мясцовых жыхароў"
"местных","мясцовых","мясцовых жыхароў і"
"создание","стварэнне","і стварэнне"
"создание","стварэнне","жыхароў і стварэнне"
"приблизиться","наблізіцца","наблізіцца да горада,"
"приблизиться","наблізіцца","наблізіцца да"
"что","што","горада, што"
"что","што","да горада, што"
"бомбардировщиков","бамбардзіроўшчыкаў","бамбардзіроўшчыкаў (ням."
"не","не","не перажываюць."
"дальнейшем","далейшым","далейшым якіх-небудзь"
"на","на","зменена на"
"стандарт","стандарт","4-дзірачны стандарт"
"национальный","нацыянальны","выкарыстоўваецца нацыянальны"
"национальный","нацыянальны","выкарыстоўваецца нацыянальны 4-дзірачны"
