"деятель,","дзеяч,","дзеяч, дэпутат"
"Государственной","Дзяржаўнай","дэпутат Дзяржаўнай"
"депутат Государственной","дэпутатка Дзяржаўнай","Дзяржаўнай"
"депутат Государственной","дэпутатка Дзяржаўнай","дэпутат Дзяржаўнай"
"Государственной думы","Дзяржаўнай думы","дэпутат Дзяржаўнай думы"
"гимназия","гімназія","гімназія вярнулася"
"в","у","вярнулася у"
"в","у","у індывідуальнай"
"в","у","у пасьюце."
"в долине","у даліне","у даліне Валь-Рыдана, Ірына"
"в долине","у даліне","у даліне Валь-Рыдана,"
"гонке,","гонцы,","індывідуальнай гонцы,"
"была","была","Ірына была"
"была","была","Валь-Рыдана, Ірына была"
"местечке","мястэчку","мястэчку Масэрыя"
"долине","даліне","даліне Валь-Рыдана, Ірына"
"долине","даліне","даліне Валь-Рыдана,"
"итальянском местечке","італьянскім мястэчку","італьянскім мястэчку Масэрыя"
"году чемпионат","году чэмпіянат","годзе чэмпіянат"
"году чемпионат","году чэмпіянат","чэмпіянат"
"был проведён","быў","быў праведзены"
"был","быў","быў праведзены"
"чемпионат был","чэмпіянат быў","годзе чэмпіянат быў"
"чемпионат был","чэмпіянат быў","годзе чэмпіянат быў праведзены"
"чемпионат был","чэмпіянат быў","чэмпіянат быў праведзены"
"1977","1977","1977 годзе"
"1977 году","1977 году","1977 годзе"
"1977 году","1977 году","1977"
"второй раз","другі раз","праведзены другі раз"
"чемпионат","чэмпіянат","годзе чэмпіянат"
"парк в","парк у","парк у Калумбіі."
"в","у","у Калумбіі."
"Брестского","Брэсцкага","Брэсцкага ўмацаванага"
"Брестского","Брэсцкага","Брэсцкага ўмацаванага раёна."
"части Брестского","часці Брэсцкага","часці Брэсцкага ўмацаванага"
"части Брестского","часці Брэсцкага","часці Брэсцкага ўмацаванага раёна."
"русским","рускім","выяўлена рускім"
"было","было","было выяўлена"
"обнаружено русским","рускім","выяўлена рускім"
"море вышла","мора выйшла","моры выйшла"
"море вышла","мора выйшла","выйшла"
"вышла","выйшла","моры выйшла"
"было обнаружено","было","было выяўлена"
"вышла эскадра","выйшла эскадра","моры выйшла эскадра"
"и в","і ў","і ў моры"
"противника было","праціўніка было","праціўніка было выяўлена"
"Молодёжная классификация","Маладзёжная класіфікацыя","Маладзёжная класіфікацыя Спрынтэрская"
"классификация","класіфікацыя","класіфікацыя Спрынтэрская"
"классификация","класіфікацыя","Спрынтэрская класіфікацыя"
"с","з","баёў з"
"авиация","авіяцыя","авіяцыя страціла"
"два","два","два месяцы"
"два","два","два месяцы баёў"
"в","у","баёў у"
"в","у","месяцы баёў у"
"27 дней","27 дзён","27 дзён баёў"
"немецкая авиация","нямецкая авіяцыя","нямецкая авіяцыя страціла"
"с 22","з 22","баёў з 22"
"два месяца","два месяца","два месяцы баёў"
"два месяца","два месяца","два месяцы"
"два месяца","два месяца","два"
"дней","дзён","дзён баёў"
"1284 самолёта","1284 самалёта","страціла 1284 самалёта"
"1284","1284","страціла 1284"
"за два","за два","за два месяцы"
"за два","за два","за два месяцы баёў"
"5","5","прысутнічала 5"
"В нём","У ім","У ім брало"
"приняло участие","прыняло ўдзел","брало ўдзел"
"приняло участие","прыняло ўдзел","ўдзел"
"матче","матчы","матчы прысутнічала"
"нём приняло","ім прыняло","ім брало"
"нём приняло","ім прыняло","ім"
"финальном матче","фінальным матчы","фінальным матчы прысутнічала"
"5 тыс.","5 тыс.","прысутнічала 5 тыс."
"нём","ім","ім брало"
"Отечественной","Айчыннай","Вялікай Айчыннай"
"фронтах","франтах","франтах Вялікай"
"на фронтах","на франтах","на франтах Вялікай"
"до","да","да Забайкалля."
"и","і","і Закаўказзе,"
"и","і","Каўказ і"
"и","і","Каўказ і Закаўказзе,"
"Средняя,","Сярэдняя,","Закаўказзе, Сярэдняя,"
"четырнадцати","чатырнаццаці","дасягаць чатырнаццаці"
"могла","магла","магла дасягаць"
"моторизованной дивизией","матарызаванай дывізіяй","матарызаванай дывізіяй «Брандэнбург»"
"в","у","«Брандэнбург» у"
"находились 22","знаходзілі 22","22"
"находились 22","знаходзілі 22","знаходзіліся 22"
"танковая дивизия","танкавая дывізія","танкавая дывізія 22-і"
"Греция и","Грэцыя і","Грэцыя і Пелапанес)"
"22","22","знаходзіліся 22"
"22 штрафные","22 штрафныя","знаходзіліся 22 штрафныя"
"в 1944","у 1944","«Брандэнбург» у 1944 годзе) 68-ы"
"в 1944","у 1944","«Брандэнбург» у 1944"
"в 1944","у 1944","у 1944 годзе) 68-ы"
"в 1944","у 1944","«Брандэнбург» у 1944 годзе)"
"в 1944","у 1944","у 1944 годзе)"
"дивизией","дывізіяй","дывізіяй «Брандэнбург»"
"с моторизованной","з матарызаванай","(аб’яднана з матарызаванай"
"с моторизованной","з матарызаванай","«Родас» (аб’яднана з матарызаванай"
"армий находились","армій знаходзілі","армій знаходзіліся"
"армий находились","армій знаходзілі","армій"
"горный корпус","горны корпус","22-і горны корпус"
