карл	карл	карл
,	,	,
«	история	история
гэта	история	история
гісторыя	классовой	классовой
класавай	борьбы	борьбы
хуткая	быстрая	быстрая
шэрая	серая	серая
праз	через	через
сабаку	собаку	собаку
.	.	.
аднойчы	однажды	однажды
я	я	я
яго	его	его
.	.	.
у	в	в
класе	классе	классе
40	40	40
вучняў	учеников	учеников
.	.	.
ён	он	он
пра	о	о
не	не	не
ён	он	он
не	не	не
мой	мой	мой
.	.	.
спеў	пение	пение
птушак	местных	местных
птушак	птиц	птиц
дрыля	дрели	дрели
.	.	.
ён	он	он
заўважыў	заметил	заметил
ў	в	в
сваёй	своей	своей
куртцы	куртке	куртке
,	,	,
але	но	но
пастараўся	постарался	постарался
не	не	не
на	на	на
яе	неё	неё
ўвагі	внимания	внимания
.	.	.
б	бы	бы
б	бы	бы
жанчыны	женщины	женщины
,	,	,
,	,	,
як	как	как
мы	мы	мы
па	по	по
,	,	,
,	,	,
яны	они	они
б	бы	бы
б	бы	бы
.	.	.
няма	нету	нету
.	.	.
.	.	.
я	я	я
у	в	в
піжаме	пижаме	пижаме
.	.	.
немагчыма	невозможно	невозможно
,	,	,
дайце	дайте	дайте
мне	мне	мне
бутэльку	бутылку	бутылку
бутэльку	вина	вина
.	.	.
кава	кофе	кофе
і	и	и
кава	сигареты	сигареты
.	.	.
слоўнік	словарь	словарь
ужо	уже	уже
не	не	не
фантастыка	фантастика	фантастика
.	.	.
як	как	как
вас	вас	вас
клічуць	зовут	зовут
?	?	?
ты	ты	ты
ўбачыш	увидишь	увидишь
розніцу	разницу	разницу
.	.	.
у	в	в
метро	метро	метро
.	.	.
ён	он	он
напісаў	написал	написал
кнігу	книгу	книгу
кітай	китай	китай
.	.	.
што	что	что
вы	вы	вы
?	?	?
паважаныя	уважаемые	уважаемые
пасажыры	пассажиры	пассажиры
!	!	!
пры	при	при
ўваходзе	входе	входе
ў	в	в
транспартны	транспортное	транспортное
сродак	средство	средство
і	и	и
білета	проездного	проездного
білета	билета	билета
білет	билет	билет
аднаразовага	одноразового	одноразового
,	,	,
не	не	не
наступнага	следующей	следующей
.	.	.
еўропа	европа	европа
кантынент	континент	континент
.	.	.
я	я	я
не	не	не
цярпець	терпеть	терпеть
боль	боль	боль
.	.	.
«	«	«
«	«	«
нам	нужно	нужно
»	»	»
»	»	»
.	.	.
—	—	—
«	«	«
«	«	«
скаргі	жалобы	жалобы
.	.	.
ён	он	он
,	,	,
як	как	как
.	.	.
боб	боб	боб
і	и	и
—	—	—
.	.	.
знішчы	уничтожь	уничтожь
гэта	всё	всё
.	.	.
заўтра	завтра	завтра
дзень	день	день
нараджэння	рождения	рождения
.	.	.
у	в	в
доме	доме	доме
.	.	.
гэты	это	это
сказ	предложение	предложение
.	.	.
ты	ты	ты
не	не	не
можаш	можешь	можешь
прыйсці	прийти	прийти
?	?	?
я	я	я
цябе	тебя	тебя
я	я	я
не	не	не
монстр	монстр	монстр
.	.	.
ён	он	он
вярнуўся	вернулся	вернулся
.	.	.
ён	он	он
чалавек	человек	человек
.	.	.
дзяўчынка	девочка	девочка
,	,	,
,	,	,
што	что	что
стаіць	стоит	стоит
там	там	там
,	,	,
,	,	,
—	—	—
.	.	.
вельмі	очень	очень
і	и	и
.	.	.
за	за	за
.	.	.
вочы	глаза	глаза
.	.	.
дзе	где	где
ён	он	он
и	и	и
и	вырос	вырос
вырас	?	?
боль	боль	боль
амаль	почти	почти
.	.	.
мы	мы	мы
часта	часто	часто
у	в	в
.	.	.
занадта	слишком	слишком
.	.	.
людзі	все	все
людзі	люди	люди
людзі	разные	разные
.	.	.
,	,	,
што	что	что
мы	мы	мы
можам	можем	можем
я	я	я
дам	дам	дам
выгнанніцам	изгнанницам	изгнанницам
шанец	шанс	шанс
вярнуцца	вернуться	вернуться
ў	в	в
шанец	свои	свои
родныя	родные	родные
краіны	страны	страны
.	.	.
за	за	за
прыгожую	красивую	красивую
паштоўку	открытку	открытку
.	.	.
могуць	могут	могут
нас	нас	нас
на	на	на
для	для	для
хутка	быстро	быстро
.	.	.
не	не	не
!	!	!
час	время	время
ляціць	летит	летит
,	,	,
як	как	как
страла	стрела	стрела
настаўнік	учитель	учитель
падкрэсліў	подчеркнул	подчеркнул
важнасць	важность	важность
штодзённых	ежедневных	ежедневных
практыкаванняў	упражнений	упражнений
.	.	.
што	что	что
трэба	нужно	нужно
,	,	,
каб	чтобы	чтобы
працэс	процесс	процесс
?	?	?
том	том	том
ў	в	в
лоб	лоб	лоб
.	.	.
сёння	сегодня	сегодня
снег	утром	утром
ішоў	шёл	шёл
снег	снег	снег
.	.	.
хачу	хочу	хочу
...	...	...
што	что	что
,	,	,
жарт	шутка	шутка
?	?	?
мяккіх	мягких	мягких
мой	мой	мой
слоўнік	словарь	словарь
вельмі	очень	очень
.	.	.
—	—	—
маленькая	маленькая	маленькая
краіна	страна	страна
.	.	.
пасля	после	после
таго	того	того
,	,	,
,	,	,
як	как	как
прадстаўнікі	представители	представители
рускай	русской	русской
прадстаўнікі	православной	православной
царквы	церкви	церкви
не	не	не
далі	дали	дали
правесці	провести	провести
дзень	день	день
,	,	,
,	,	,
усім	всем	всем
зразумела	понятно	понятно
,	,	,
што	что	что
ён	он	он
стаміўся	устал	устал
.	.	.
звярніце	обратите	обратите
максімум	внимание	внимание
,	,	,
што	что	что
максімум	максимум	максимум
не	не	не
заўсёды	всегда	всегда
.	.	.
парашок	порошок	порошок
ў	в	в
.	.	.
дом	дом	дом
ля	у	у
ля	у	у
.	.	.
кот	кот	кот
—	—	—
не	не	не
чалавек	человек	человек
.	.	.
kawa	kawa	kawa
—	—	—
рэалізацыя	реализация	реализация
мовы	языка	языка
scheme	scheme	scheme
для	для	для
jvm	jvm	jvm
,	,	,
бібліятэкі	библиотеки	библиотеки
у	в	в
сястра	сестра	сестра
?	?	?
мне	мне	мне
,	,	,
,	,	,
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	расположение	расположение
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
выбраць	режим	режим
рэжым	изображения	изображения
.	.	.
.	.	.
.	.	.
ёсць	четыре	четыре
варыянты	показа	показа
:	:	:
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
,	,	,
,	,	,
,	,	,
,	,	,
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
,	,	,
,	,	,
,	,	,
,	,	,
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
.	.	.
.	.	.
.	.	.
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
.	.	.
.	.	.
.	.	.
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
,	,	,
,	,	,
,	,	,
,	,	,
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
,	,	,
,	,	,
,	,	,
,	,	,
а	а	а
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
«	«	«
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
»	»	»
—	—	—
назвалі	назвали	назвали
свайго	своего	своего
сына	сына	сына
джонам	джоном	джоном
.	.	.
я	я	я
тому	тому	тому
.	.	.
яблыня	яблоня	яблоня
—	—	—
яблыкі	яблоки	яблоки
.	.	.
я	я	я
вельмі	очень	очень
за	за	за
.	.	.
я	я	я
ю	пью	пью
,	,	,
,	хочу	хочу
бо	пить	пить
тома	тома	тома
ключ	запасной	запасной
ключ	ключ	ключ
,	,	,
ў	в	в
.	.	.
мне	мне	мне
перакладчык	переводчик	переводчик
.	.	.
і	и	и
і	и	и
шчакі	щеки	щеки
,	,	,
,	,	,
,	,	,
і	и	и
і	и	и
яна	она	она
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
ў	в	в
пыласосах	пылесосах	пылесосах
.	.	.
чым	чем	чем
сяло	село	село
ад	от	от
горада	города	города
?	?	?
возера	озеро	озеро
вельмі	очень	очень
.	.	.
вы	вы	вы
не	не	не
,	,	,
дзе	где	где
яна	она	она
жыве	живёт	живёт
?	?	?
аднойчы	однажды	однажды
я	я	я
яго	его	его
.	.	.
вас	вас	вас
прыняць	принять	принять
у	в	в
суботніках	субботниках	субботниках
па	по	по
месцу	месту	месту
і	и	и
.	.	.
заданне	задание	задание
.	.	.
мова	язык	язык
!	!	!
ты	ты	ты
п'еш	пьёшь	пьёшь
?	?	?
дзе	где	где
я	я	я
гадзіннік	часы	часы
?	?	?
вы	вы	вы
вы	вы	вы
не	не	не
хочаце	хотите	хотите
хадзіць	ходить	ходить
на	на	на
на	на	на
на	на	на
на	на	на
семінары	семинаре	семинаре
``	``	``
``	борьба	борьба
барацьба	с	с
з	коррупцией	коррупцией
барацьба	внутри	внутри
''	''	''
,	,	,
вы	вы	вы
вы	вы	вы
,	можете	можете
вы	заплатить	заплатить
200	200	200
заплаціць	гривен	гривен
200	и	и
грывень	получить	получить
і	сертификат	сертификат
сертыфікат	просто	просто
проста	так	так
някепска	неплохо	неплохо
для	для	для
маё	моя	моя
жыццё	жизнь	жизнь
.	.	.
кніга	эта	эта
кніга	книга	книга
не	не	не
такая	такая	такая
вялікая	большая	большая
,	,	,
як	как	как
тая	та	та
.	.	.
я	я	я
не	не	не
адказаць	ответить	ответить
ні	ни	ни
на	на	на
пытанне	вопрос	вопрос
у	в	в
тэсце	тесте	тесте
.	.	.
такога	такого	такого
ў	в	в
мове	языке	языке
.	.	.
што	что	что
?	?	?
я	я	я
б	бы	бы
адкрыць	открыть	открыть
рахунак	счёт	счёт
.	.	.
кожны	каждый	каждый
дзясяты	десятый	десятый
чалавек	человек	человек
.	.	.
я	я	я
не	не	не
,	,	,
,	,	,
,	,	,
што	что	что
ў	в	в
свеце	мире	мире
,	,	,
,	,	,
,	,	,
што	что	что
у	в	в
,	,	,
,	,	,
,	,	,
акрамя	кроме	кроме
мовы	языка	языка
.	.	.
перазвон	перезвон	перезвон
званочкаў	колокольчиков	колокольчиков
японскага	японского	японского
,	,	,
,	,	,
але	но	но
ў	в	в
апошнія	последние	последние
людзей	людей	людей
,	,	,
,	,	,
у	в	в
какафонію	какофонию	какофонию
.	.	.
бульба	картофель	картофель
вельмі	очень	очень
.	.	.
мяне	меня	меня
.	.	.
ён	он	он
мне	мне	мне
прыйсці	прийти	прийти
рана	рано	рано
.	.	.
,	,	,
,	,	,
зямляне	земляне	земляне
!	!	!
мы	мы	мы
прыляцелі	прилетели	прилетели
з	с	с
марса	марса	марса
,	,	,
,	,	,
каб	чтобы	чтобы
вас	вас	вас
.	.	.
у	в	в
у	в	в
суботу	субботу	субботу
мы	мы	мы
пайшлі	пошли	пошли
ў	в	в
кіно	кино	кино
,	,	,
а	а	а
рэстаран	потом	потом
у	в	в
у	в	в
рэстаран	ресторан	ресторан
.	.	.
французская	французский	французский
мова	язык	язык
на	на	на
сінонімы	синонимы	синонимы
.	.	.
дзе	где	где
кніга	книга	книга
?	?	?
сярод	среди	среди
нас	нас	нас
здраднік	предатель	предатель
.	.	.
я	я	я
толькі	только	только
стол	новый	новый
стол	стол	стол
для	для	для
сонца	солнце	солнце
.	.	.
тут	здесь	здесь
шмат	много	много
чужаземцаў	иностранцев	иностранцев
?	?	?
вісяць	висят	висят
нізка	низко	низко
.	.	.
я	я	я
я	ничего	ничего
не	не	не
японію	японию	японию
.	.	.
у	в	в
казахстане	казахстане	казахстане
канцэпцыя	концепция	концепция
горнага	горного	горного
кодэкса	кодекса	кодекса
.	.	.
з	с	с
настаўніцай	русской	русской
настаўніцай	учительницей	учительницей
.	.	.
табе	тебе	тебе
.	.	.
на	на	на
на	на	на
,	,	,
,	,	,
,	,	,
,	,	,
калі	когда	когда
у	в	в
на	на	на
на	на	на
(	(	(
здавалася	бы	бы
!	!	!
)	)	)
чужой	языке	языке
:	:	:
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
,	,	,
—	—	—
здаёмыя	с	с
з	слова	слова
словы	и	и
і	даже	даже
фразы	фразы	фразы
фразы	.	.
гэты	это	это
сказ	предложение	предложение
належыць	принадлежит	принадлежит
мне	мне	мне
.	.	.
я	я	я
ў	в	в
класічнай	классической	классической
гімназіі	гимназии	гимназии
.	.	.
для	для	для
нас	нас	нас
«	слабого	слабого
слабага	пола	пола
»	и	и
адхіленне	женщин	женщин
жанчын	от	от
ад	общественной	общественной
грамадскага	жизни	жизни
жыцця	.	.
мне	мне	мне
,	,	,
што	что	что
ў	в	в
цябе	тебя	тебя
ў	в	в
левай	левой	левой
руцэ	руке	руке
.	.	.
кабыла	кобыла	кобыла
ты	ты	ты
?	?	?
па	по	по
табе	тебе	тебе
.	.	.
учора	вчера	вчера
ліст	вечером	вечером
я	я	я
напісаў	написал	написал
.	.	.
я	я	я
я	я	я
,	,	,
я	я	я
не	не	не
світання	рассвета	рассвета
.	.	.
сабака	собака	собака
вельмі	очень	очень
.	.	.
самая	самая	самая
высокая	высокая	высокая
гара	гора	гора
ў	в	в
паўночнай	северной	северной
амерыцы	америке	америке
?	?	?
сёння	сегодня	сегодня
хмарна	облачно	облачно
.	.	.
у	в	в
варшаве	варшаве	варшаве
паліцыя	полиция	полиция
людзей	людей	людей
на	на	на
вуліцах	улицах	улицах
.	.	.
неба	небо	небо
высока	высоко	высоко
,	,	,
імператар	император	император
.	.	.
ён	он	он
задачу	задачу	задачу
,	,	,
але	но	но
не	не	не
.	.	.
я	я	я
сістэма	система	система
«	«	«
»	»	»
падтрымліваць	и	и
цягнік	поезд	поезд
ў	в	в
шэсць	шесть	шесть
.	.	.
ты	ты	ты
не	не	не
.	.	.
.	.	.
ён	он	он
цябе	тебя	тебя
заб'е	убьёт	убьёт
.	.	.
.	.	.
сонца	солнце	солнце
аднолькава	одинаково	одинаково
для	для	для
ўсіх	всех	всех
.	.	.
мэта	цель	цель
—	—	—
мэта	стать	стать
лекарам	врачом	врачом
.	.	.
расклад	расписание	расписание
?	?	?
часта	часто	часто
там	там	там
.	.	.
што	что	что
ты	ты	ты
пра	о	о
?	?	?
прыгожая	красивая	красивая
!	!	!
уйгуры	уйгуры	уйгуры
большасць	большинство	большинство
у	в	в
.	.	.
што	что	что
ты	ты	ты
пра	о	о
?	?	?
жанчыны	женщины	женщины
.	.	.
,	,	,
.	.	.
калі	когда	когда
яна	она	она
прыйдзе	придёт	придёт
аўтобус	автобус	автобус
прыедзе	приедет	приедет
на	на	на
праз	через	через
.	.	.
ён	он	он
спазніўся	опоздал	опоздал
на	на	на
на	на	на
цягнік	поезд	поезд
на	на	на
на	на	на
адну	одну	одну
цягнік	минуту	минуту
.	.	.
том	том	том
