"Dr.","Dr.","al Dr."
"Dr. Raymond","Dr. Raymond","al Dr. Raymond"
"Data in","Dato en","en"
"Data in","Dato en","Data en"
"Game,","Juego,","Juego, una campaña en contra"
"Game,","Juego,","Juego, una campaña"
"Game,","Juego,","Juego, una campaña en contra del"
"Game,","Juego,","Juego, una"
"Game,","Juego,","Juego, una campaña en"
"Game, an","Juego, un","Juego,"
"Game, an","Juego, un","Juego, una campaña"
"Game, an","Juego, un","Juego, una campaña en contra"
"Game, an","Juego, un","Juego, una campaña en contra del"
"Game, an","Juego, un","Juego, una"
"Game, an","Juego, un","Juego, una campaña en"
"Spherical","Esférico","Diagrama Esférico"
"Spherical","Esférico","de Coxeter Imagen Diagrama Esférico"
"Spherical","Esférico","ComponentesSímbolos de Coxeter Imagen Diagrama Esférico"
"Spherical","Esférico","Imagen Diagrama Esférico"
"Spherical","Esférico","Coxeter Imagen Diagrama Esférico"
"Spherical  Convex","Esférico Convexo","Imagen Diagrama Esférico Convexo"
"Spherical  Convex","Esférico Convexo","de Coxeter Imagen Diagrama Esférico Convexo"
"Spherical  Convex","Esférico Convexo","Coxeter Imagen Diagrama Esférico Convexo"
"Spherical  Convex","Esférico Convexo","Diagrama Esférico Convexo"
"Spherical  Convex","Esférico Convexo","ComponentesSímbolos de Coxeter Imagen Diagrama Esférico Convexo"
"Michael","Michael","ansioso llamado Michael"
"Michael","Michael","llamado Michael"
"Jonathan Cape in","Jonathan Cabo en","Jonathan Cape en"
"Jonathan","Jonathan","Jonathan Cape"
"Cape in","Cabo en","Cape en"
"Cape in","Cabo en","en"
"is a","Es un","un"
"is a","Es un","es un"
"Jonathan Cape","Jonathan Cabo","Jonathan"
"Jonathan Cape","Jonathan Cabo","Jonathan Cape"
"Early writings:","Escrituras tempranas:","Escrituras tempranas: Apologistas"
"Accounting","Contabilidad","Contabilidad Mercadeo"
"Museum","Museo","Museo del"
"Museum","Museo","Norwich, Museo"
"Museum","Museo","Norwich, Museo del"
"Gallery (five","Galería (cinco","Tate (cinco"
"Gallery (five","Galería (cinco","(cinco"
"Gallery (five","Galería (cinco","Galería Tate (cinco"
"was born in","Nació en","nació en"
"was born in","Nació en","en"
"Council of","Consejo de","Consejo de MinistrosVorsitzender"
"- Philippine","- Filipino","- Philippine"
"- Philippine","- Filipino","-"
"-","-","- Philippine"
"Turkish Republic of","República turca de","República Turca de"
"Turkish Republic","República turca","República"
"Turkish Republic","República turca","República Turca"
"Republic","República","República Turca"
"A guide to","Una guía a","Companion. Una guía a"
"A guide to","Una guía a","The Kaprálova Companion. Una guía a"
"A guide to","Una guía a","Kaprálova Companion. Una guía a"
"A guide","Una guía","The Kaprálova Companion. Una guía"
"A guide","Una guía","Kaprálova Companion. Una guía"
"A guide","Una guía","Companion. Una guía"
"Louisiana floods","Inundaciones de Luisiana","Inundación de Luisiana"
"Louisiana floods","Inundaciones de Luisiana","de Luisiana"
"19 June","19 junio","junio"
"19 June","19 junio","de junio"
"19 June","19 junio","19 de junio"
"1986),","1986),","1986), apodada"
"The season","La estación","La"
"The season","La estación","La temporada"
"Emperor, Charles","Emperador, Charles","Emperador,"
"Emperor, Charles","Emperador, Charles","Emperador, Carlos"
"not","No","No fue"
"It was not","No sea","No"
"It was not","No sea","No fue"
"did not","No","No fue"
"Charles V renewed","Charles V renovó","V renovó"
"Charles V renewed","Charles V renovó","Carlos V renovó"
"Charles V","Charles V","Carlos V"
"Charles V","Charles V","V"
"V renewed","V renovó","Carlos V renovó"
"Emperor,","Emperador,","Emperador, Carlos"
"V","V","Carlos V"
"Once","Una vez","Una vez creada,"
"Once","Una vez","Una vez creada, una"
"Once created,","Una vez creado,","Una vez creada,"
"Once created,","Una vez creado,","Una vez creada, una"
"Once created,","Una vez creado,","Una vez"
"This also includes","Esto también incluye","Esto también incluye declaraciones SELECT,"
"This also includes","Esto también incluye","Esto también incluye declaraciones"
"once","Una vez","Una vez creada,"
"once","Una vez","Una vez creada, una"
"history","Historia","la Historia"
"history","Historia","de la Historia"
"history","Historia",""Compendio de la Historia"
"of History","De Historia","Historia"
"of History","De Historia",""Compendio de la Historia"
"of History","De Historia","de la Historia"
"of History","De Historia","la Historia"
"of History of","De Historia de","Historia de"
"of History of","De Historia de","la Historia de"
"of History of","De Historia de","de la Historia de"
"of History of","De Historia de",""Compendio de la Historia de"
"Written according to","Escrito según","Escritas según"
"Written according to","Escrito según","según"
"history of","Historia de",""Compendio de la Historia de"
"history of","Historia de","la Historia de"
"history of","Historia de","de la Historia de"
"History of","Historia de",""Compendio de la Historia de"
"History of","Historia de","la Historia de"
"History of","Historia de","de la Historia de"
"History of Santo","Historia de Santo","la Historia de Santo"
"History of Santo","Historia de Santo",""Compendio de la Historia de Santo"
"History of Santo","Historia de Santo","de la Historia de Santo"
"History","Historia","la Historia"
"History","Historia","de la Historia"
"History","Historia",""Compendio de la Historia"
"Commissioners of","Comisarios de","Comisionados de"
"Commissioners of","Comisarios de","de"
"(1871)","(1871)","(1871) "Rasgos biográficos"
"(1871)","(1871)","(1871) "Rasgos"
"Commissioners of Santo","Comisarios de Santo","de Santo"
"Commissioners of Santo","Comisarios de Santo","Comisionados de Santo"
"(1900)","(1900)","(1900) "Compendio de la"
"(1900)","(1900)","(1900) "Compendio"
"(1900)","(1900)","(1900) "Compendio de"
"Domingo. Dedicated","Domingo. Dedicado","Domingo. Dedicado al pueblo"
"Domingo. Dedicated","Domingo. Dedicado","Domingo. Dedicado al"
"(1867)","(1867)","I" (1867)"
"(1897)","(1897)","(1897) "Compendio de"
"(1897)","(1897)","(1897) "Compendio de la"
"(1897)","(1897)","(1897) "Compendio"
"Dedicated to","Dedicado a","Dedicado"
"Dedicated to","Dedicado a","Dedicado al"
"Dedicated to","Dedicado a","Dedicado al pueblo"
"for the history","Para la historia","la historia"
"for the history","Para la historia","para la historia"
"for the history","Para la historia",""Memorias para la historia"
"Dedicated","Dedicado","Dedicado al"
"Dedicated","Dedicado","Dedicado al pueblo"
"Overall that gave","En general aquello dio","En general aquello dio al"
"Overall that gave","En general aquello dio","En general aquello dio al partido"
"5,968 votes,","5,968 votos,","al partido 5,968 votos,"
"5,968 votes,","5,968 votos,","partido 5,968 votos,"
"5,968","5,968","partido 5,968"
"5,968","5,968","al partido 5,968"
"WE 5,968","NOSOTROS 5,968","5,968"
"WE 5,968","NOSOTROS 5,968","al partido 5,968"
"WE 5,968","NOSOTROS 5,968","partido 5,968"
"Specializing in","Especializando en","en"
"Specializing in","Especializando en","Especializada en"
"Marlon (20","Marlon (20","Marlon (20 de"
"(20 December","(20 diciembre","(20 de diciembre de"
